order_id,date,product,category,region,sales,quantity,discount,profit,customer_age
1062,2024-07-03,Ring Light,Electronics,South,79.99,2,0.00,24.00,27
1063,2024-07-05,Bookshelf Oak,Furniture,East,319.99,1,0.10,60.00,48
1064,2024-07-08,Planner 2024,Stationery,West,19.99,12,0.00,7.50,31
1065,2024-07-10,Samsung Galaxy,Electronics,North,849.99,1,0.05,185.00,30
1066,2024-07-12,Wireless Charger,Electronics,South,39.99,5,0.00,12.00,26
1067,2024-07-15,TV Stand,Furniture,East,189.99,1,0.12,35.00,44
1068,2024-07-18,Scissors Set,Stationery,West,7.99,20,0.00,3.00,23
1069,2024-07-20,Power Bank,Electronics,North,59.99,3,0.00,18.00,33
1070,2024-07-22,Sofa Bed,Furniture,South,1499.99,1,0.10,250.00,39
1071,2024-08-01,Laptop Pro,Electronics,East,1299.99,2,0.08,320.00,37
1072,2024-08-03,Graphics Card,Electronics,West,599.99,1,0.05,130.00,28
1073,2024-08-05,Coffee Table,Furniture,North,299.99,1,0.10,55.00,45
1074,2024-08-08,Index Cards,Stationery,South,4.99,25,0.00,1.80,22
1075,2024-08-10,VR Headset,Electronics,East,499.99,1,0.05,110.00,26
1076,2024-08-12,Adjustable Desk,Furniture,West,899.99,1,0.10,160.00,41
1077,2024-08-15,Tape Dispenser,Stationery,North,8.99,15,0.00,3.50,28
1078,2024-08-18,Gaming Laptop,Electronics,South,1699.99,1,0.05,380.00,24
1079,2024-08-20,Cable Tray,Electronics,East,24.99,6,0.00,8.00,36
1080,2024-08-22,Dining Table,Furniture,West,1099.99,1,0.10,185.00,52
1081,2024-09-01,Laptop Pro,Electronics,North,1299.99,1,0.05,360.00,38
1082,2024-09-03,Smart Thermostat,Electronics,South,199.99,1,0.00,55.00,43
1083,2024-09-05,Nightstand,Furniture,East,149.99,2,0.10,28.00,35
1084,2024-09-08,Binder Set,Stationery,West,12.99,10,0.00,4.80,27
1085,2024-09-10,Smart Display,Electronics,North,249.99,1,0.05,60.00,31
1086,2024-09-12,TV 55inch,Electronics,South,899.99,1,0.05,190.00,44
1087,2024-09-15,Dresser,Furniture,East,599.99,1,0.10,110.00,48
1088,2024-09-18,Colored Pens,Stationery,West,9.99,20,0.00,4.00,25
1089,2024-09-20,Security Camera,Electronics,North,149.99,2,0.00,42.00,39
1090,2024-09-22,Sectional Sofa,Furniture,South,2499.99,1,0.12,400.00,46
1091,2024-10-01,Laptop Pro,Electronics,East,1299.99,2,0.10,280.00,34
1092,2024-10-03,Smart Lock,Electronics,West,199.99,1,0.00,55.00,40
1093,2024-10-05,Bed Frame Queen,Furniture,North,799.99,1,0.10,140.00,36
1094,2024-10-08,Document Folder,Stationery,South,6.99,25,0.00,2.60,28
1095,2024-10-10,Robot Vacuum,Electronics,East,399.99,1,0.05,90.00,42
1096,2024-10-12,Bookshelf Tall,Furniture,West,289.99,1,0.10,50.00,50
1097,2024-10-15,Correction Tape,Stationery,North,3.99,30,0.00,1.50,23
1098,2024-10-18,Smart Speaker,Electronics,South,129.99,2,0.00,35.00,31
1099,2024-10-20,Media Console,Furniture,East,449.99,1,0.10,80.00,44
1100,2024-10-22,Laptop Pro,Electronics,West,1299.99,1,0.05,340.00,35
